No.,Company,Sector,Entry Valuation^^ ($B),Valuation ($B),Entry,Location,Select Investors,sequoia capital
41,Five Star Business Finance^,NBFC,1.4,1.4,Mar-21,Chennai,"Matrix Partners India, Sequoia Capital India, Norwest, Morgan Stanley, TPG Capital",no
42,FirstCry,E-Commerce - Baby Care Products,1.7,1.7,Mar-21,Pune,"Chiratae Ventures, Elevation Capital, Vertex, SoftBank",no
43,Meesho,E-Commerce - Social Commerce,2.1,4.9,Apr-21,Bangalore,"Sequoia Capital India, Elevation Capital, SoftBank, Naspers",no
44,CRED,Fintech - Payments & Credit Card Rewards,2.2,6.4,Apr-21,Bangalore,"Sequoia Capital India, Ribbit Capital, DST Global, Alpha Wave Global",no
45,PharmEasy,E-Commerce - Online Pharmacy,1.5,5.6,Apr-21,Mumbai,"Orios VP, Eight Roads Ventures, Temasek, Naspers, Steadview Capital",no
46,Groww,Fintech - Brokerage & Mutual Funds,1,3,Apr-21,Bangalore,"Sequoia Capital India, Y Combinator, Tiger Global, Ribbit Capital",no
47,ShareChat,Social Media,2.1,4.9,Apr-21,Bangalore,"India Quotient, Elevation Capital, Lightspeed Ventures, Tiger Global, Twitter",no
48,Gupshup,Conversational Messaging,1.4,1.4,Apr-21,Mumbai/San Francisco,"Tiger Global, Charles River Ventures, Helion Ventures",no
49,ChargeBee,SaaS - Subscription Billing Solution,1.4,3.5,Apr-21,Chennai/San Francisco,"Tiger Global, Steadview Capital, Sapphire Ventures, Accel India, Insight Venture Partners",no
50,Urban Company,Marketplace - Handyman Services,2.1,2.1,Apr-21,Delhi,"Tiger Global, Steadview Capital, Accel India, Elevation Capital, Vy Capital, Prosus Ventures",no
51,Moglix,B2B E-Commerce - Industrial Equipment,1,2.6,May-21,Noida/Singapore,"Accel India, Jungle Ventures, Tiger Global, Sequoia Capital India, IFC",no
52,Zeta,Fintech - API - Banking Products,1.4,1.5,May-21,Bangalore/San Francisco,"SoftBank, Mastercard",no
53,BrowserStack,SaaS - Software Testing,4,4,Jun-21,Mumbai/Dublin,"Accel, Bond Capital, Insight Venture Partners",no
54,BlackBuck,Logistics Services,1,1,Jul-21,Bangalore,"Accel India, Sequoia Capital India, Sands Capital, IFC, Tiger Global",no
55,Droom,Marketplace - Used Cars,1.2,1.2,Jul-21,Gurgaon,"Beenos Partners, Lightbox, Axis Capital Partners, Beenext",no
56,OfBusiness,NBFC - SME Loans,1.5,5,Jul-21,Gurgaon,"SoftBank, Tiger Global, Matrix Partners India, Zodius Capital, Alpha Wave Global",no
57,BharatPe,Fintech - Payments,2.8,2.8,Aug-21,Delhi,"Beenext, Sequoia Capital India, Tiger Global, Steadview Capital",no
58,MindTickle,SaaS - HR - Training,1.2,1.2,Aug-21,Bangalore/San Francisco,"SoftBank, Accel India, Qualcomm Ventures, Norwest",no
59,upGrad,Edtech - Higher Studies,1.2,2.25,Aug-21,Mumbai,"Temasek, IFC, Lupa Systems",no
